番号,20,
名前,金紅桃,
呼び名,金紅桃,
基礎,0,24500
基礎,1,18900
フラグ,1,2
フラグ,9,700
フラグ,11,2240
フラグ,12,2240
フラグ,13,2240
フラグ,14,2240
フラグ,16,993
フラグ,41,105
フラグ,45,0
フラグ,46,0
フラグ,151,128
フラグ,420,1
;素質,0;處女
素質,15;高姿態
素質,25;樂觀的
素質,40;害怕疼痛
素質,62;反感污臭
素質,69;抵抗誘惑
素質,110;巨乳
素質,152;不受洗腦
素質,167;,金紅桃;ユニーク
素質,205;騎士
素質,240;戰術
素質,249;鐵壁
素質,300,1;金髪
素質,301,3;內カール
素質,302,201;ロング
素質,303,1;ベーシック
素質,304,1;ナチュラル
素質,305,2;大きい
素質,306,1;碧
素質,307,3;瑞々しい
素質,308,300;グラマー
素質,309,1;ピンク
素質,310,100;薄
素質,311,100;薄
素質,312,5;泣きぼくろ
素質,313,9;上目遣い
素質,314,0;人間
素質,315,8;貴族
素質,316,5;日常に退屈して
素質,317,15;御菓子

