番号,22,
名前,黑方片,
呼び名,黑方片,
基礎,0,3450
基礎,1,2050
フラグ,1,2
フラグ,9,105
フラグ,11,282
フラグ,12,282
フラグ,13,282
フラグ,14,282
フラグ,16,-1
フラグ,41,292
フラグ,45,0
フラグ,46,0
フラグ,151,128
フラグ,420,1
素質,0;處女
素質,11;反抗心
素質,18;傲嬌
素質,23;好奇心
素質,40;害怕疼痛
素質,52;擅用舌頭
素質,69;抵抗誘惑
素質,72;容易上癮
素質,106;肛門敏感
素質,152;不受洗腦
素質,169;黑方片,;ユニーク
素質,200;戰士
素質,240;戰術
素質,248;肌肉型
素質,300,3;黒髪
素質,301,1;直毛
素質,302,101;セミロング
素質,303,1;ベーシック
素質,304,7;おさげ
素質,305,4;釣り目
素質,306,2;ブラウン
素質,307,3;瑞々しい
素質,308,1;スレンダー
素質,309,1;ピンク
素質,310,100;標準
素質,311,100;標準
素質,312,15;腳線美
素質,313,27;片目を閉じる
素質,314,0;人間
素質,315,19;軍人
素質,316,9;國に命令されて
素質,317,14;寶石
