番号,31,
名前,瓊,
呼び名,瓊,
基礎,0,1800
基礎,1,1800
フラグ,1,1
フラグ,9,1
フラグ,11,15
フラグ,12,15
フラグ,13,15
フラグ,14,15
フラグ,16,-1
フラグ,41,206
フラグ,45,0
フラグ,46,0
フラグ,151,99
フラグ,420,1
フラグ,550,-1
フラグ,800,1
素質,0;處女
素質,14;文靜
素質,20;克制
素質,24;保守的
素質,30;看重貞操
素質,35;害羞
素質,40;害怕疼痛
素質,44;愛哭鬼
素質,57;漏尿癖
素質,69;抵抗誘惑
素質,80;倒錯的
素質,109;貧乳
素質,104;私處敏感
素質,113;魅力
素質,117;治療
素質,152;不受洗腦
素質,160;慈愛
素質,208;弓手
素質,241;魔術
素質,252;先制
素質,255;白皙
素質,258;俊足
素質,300,1;金髪
素質,301,1;直毛
素質,302,201;長
素質,303,1;基本剪法
素質,304,5;馬尾
素質,305,5;水汪汪
素質,306,1;藍色
素質,307,4;標準
素質,308,50;纖細
素質,309,1;粉紅色
素質,310,60;稀薄
素質,311,140;標準
素質,312,13;腰線
素質,313,14;鼓腮
素質,314,1;精靈
素質,315,12;聖女
素質,316,7;拯救故鄉
素質,317,10;故鄉
ABL,21,3
