番号,32,
名前,普林希斯,
呼び名,普林希斯,
基礎,0,1800
基礎,1,1800
フラグ,1,1
フラグ,9,1
フラグ,11,15
フラグ,12,15
フラグ,13,15
フラグ,14,15
フラグ,16,-1
フラグ,41,25
フラグ,45,0
フラグ,46,0
フラグ,151,99
フラグ,420,1
フラグ,550,-1
フラグ,800,2
素質,0;處女
素質,12;剛強
素質,13;坦率
素質,17;低姿態
素質,25;樂觀的
素質,31;看輕貞操
素質,33;開放
素質,37;把柄
素質,41;不懼疼痛
素質,45;不哭泣
素質,50;快速學習
素質,56;抗藥性
素質,62;反感污臭
素質,63;獻身的
素質,69;抵抗誘惑
素質,108;乳房敏感
素質,110;巨乳
素質,111;快速回復
素質,113;魅力
素質,152;不受洗腦
素質,164;冷靜
素質,205;騎士
素質,240;戰術
素質,243;奇襲
素質,249;鐵壁
素質,253;褐色肌膚
素質,257;魔法耐性
素質,300,3;黑髮
素質,301,1;直毛
素質,302,201;長
素質,303,1;基本剪法
素質,304,1;自然
素質,305,2;大眼
素質,306,6;黑色
素質,307,3;豐潤的
素質,308,101;標準
素質,309,2;褐色
素質,310,100;標準
素質,311,200;濃密
素質,312,12;美乳
素質,313,3;摸頭髮
素質,314,5;龍族
素質,315,8;貴族
素質,316,14;無可奈何
素質,317,8;家族

