番号,34,
名前,葵希羅,
呼び名,葵希羅,
基礎,0,60000
基礎,1,60000
フラグ,1,2
フラグ,9,1000
フラグ,11,7000
フラグ,12,7000
フラグ,13,6000
フラグ,14,6000
フラグ,16,-1
フラグ,41,252
フラグ,45,0
フラグ,46,0
フラグ,151,0
フラグ,420,1
フラグ,520,8
フラグ,550,410050
フラグ,551,10016
フラグ,552,10017
フラグ,580,1000000
フラグ,582,0
フラグ,800,4
素質,2;狂王替身
素質,11;反抗心
素質,12;剛強
素質,13;坦率
素質,15;高姿態
素質,16;囂張
素質,20;克制
素質,21;冷漠
素質,25;樂觀的
素質,27;戒備森嚴
素質,33;開放
素質,36;不知羞恥
素質,42;容易濕
素質,47;喜歡精液
素質,50;快速學習
素質,52;擅用舌頭
素質,60;容易自慰
素質,64;不怕臟
素質,69;抵抗誘惑
素質,70;接受快感
素質,81;雙性戀
素質,83;施虐狂
素質,87;小惡魔
素質,91;魅惑
素質,93;威壓感
素質,102;陰蒂敏感
素質,105;肛門鈍感
素質,111;快速回復
素質,113;魅力
素質,118;鼓舞
素質,121;扶她
素質,125;白虎
素質,126;高人氣
素質,151;絕不侍奉
素質,152;不受洗腦
素質,166;惡女
素質,205;騎士
素質,240;戰術
素質,242;法術
素質,243;奇襲
素質,249;鐵壁
素質,252;先制
素質,257;魔法耐性
素質,258;俊足
素質,300,6;藍髮
素質,301,5;天然卷
素質,302,101;半長
素質,303,4;碎髮
素質,304,3;不均分
素質,305,1;細長
素質,306,5;紅色
素質,307,2;薄的
素質,308,101;標準
素質,309,1;粉紅色
素質,310,1;無
素質,311,1;無
素質,312,21;性器
素質,313,1;舔嘴唇
素質,314,0;人類
素質,315,19;軍人
素質,316,19;獲得了力量
素質,317,9;使命
素質,318,1;巨根
ABL,20,5
MARK,1,3
MARK,3,3
MARK,4,3
