番号,80007
名前,小早川 凜子,
呼び名,凜子,

基礎,0,1700
基礎,1,1700

;初期設定素質,
素質,處女
素質,傲嬌
素質,剛強
素質,看重貞操
素質,害羞
素質,不易濕
素質,接受快感
素質,嫉妒
素質,嬌小
素質,貧乳
素質,頭髮顏色,3
素質,頭髮狀態,1
素質,頭髮長度,101
素質,頭髮修剪方式,2
素質,髮型,3
素質,體型,70
素質,目,4
素質,瞳色,6
素質,唇,4
素質,乳頭,1
素質,陰毛狀態,2
素質,陰毛生長極限,150
素質,成為勇者前的生活,1
素質,成為勇者的契機,12
素質,冷靜
素質,囂張
素質,種族,0

;初期設定能力,
能力,學習能力,4
能力,運動能力,4
能力,戰鬥能力,3
能力,感性,6
刻印,異界綜合徵,2

;初期設定キャラクターフラグ,
CFLAG,1,1
CFLAG,9,1
CFLAG,11,15
CFLAG,12,15
CFLAG,13,15
CFLAG,14,15
CFLAG,16,-1
CFLAG,41,17;上著のタイプ
CFLAG,45,0
CFLAG,46,0
CFLAG,151,99
CFLAG,420,1
CFLAG,450,1,;一人稱
CFLAG,451,16
CFLAG,452,16
CFLAG,453,1570,;身長（cm*10）
CFLAG,454,434,;體重（kg*10）
CFLAG,455,730,;B*10
CFLAG,456,560,;W*10
CFLAG,457,750,;H*10
CFLAG,999,3;稀有度


;初期設定経験,

;弱み屬性　0 弱み無、1 弱みあり、CSTR,41に內容記述
;CFLAG,1003,0
;友人
;憧れ・友情
;苦手


;CSTR,30,小早川 凜子

;CSTR,32,図書委員會に所屬する高校1年生。攜和服腰帶型音楽プレーヤーを身に著けており、一人でいることが多い。
;CSTR,33,勝気で我が強く、さらに家庭院院に複雑な事情を抱えているせいか、自分より明らかに強い者に対して躊躇なく暴力を振るう等ぶっきらぼうかつ無茶な振る舞いで周辺の人を心配させる。
;CSTR,34,根はとても坦率で寂しがり屋である。運動はあまり得意ではないようで、背が小さいことを気にしている。
;CSTR,35,血型はB型。誕生日は8月17日。星座は獅子座。趣味は讀書、音楽鑑賞、アーケードゲームをプレイすること。好物はカレ紅寶石のポテトチップスうずしお。
;CSTR,40,図書委員

