;-------------------------------------------------,,
;0-9 愛撫系コマンド,,
;-------------------------------------------------,,
0,愛撫,
1,舔陰,
2,肛門愛撫,
3,自慰,
4,口交(主),
5,胸愛撫,
6,接吻,
7,自己扒開,
8,插入手指,
9,舔肛,
;,,
;-------------------------------------------------,,
;10-19 道具使用コマンド,,
;-------------------------------------------------,,
10,振動寶石,
11,壺蟲,
12,振動杖,
13,肛門蟲,
14,陰蒂夾,
15,乳頭夾,
16,榨乳器,
17,飛機杯,
18,淋浴,
19,肛珠,
;,,
;-------------------------------------------------,,
;20-29 セックス系コマンド,,
;-------------------------------------------------,,
20,正常位,
21,背後位,
22,對面座位,
23,背面座位,
24,逆強姦,
25,逆肛門強姦,
26,正常位肛交,
27,背後位肛交,
28,對面座位肛交,
29,背面座位肛交,
;,,
;-------------------------------------------------,,
;30-39 奉仕系コマンド,,
;-------------------------------------------------,,
30,手淫,
31,口交(奴),
32,乳交,
33,股間性交,
34,騎乘位,
35,全身擦洗,
36,騎乘位肛交,
37,肛門侍奉,
38,足交,
;,,
;-------------------------------------------------,,
;40-49 SM系コマンド,,
;-------------------------------------------------,,
40,打屁股,
41,鞭,
42,針,
43,眼罩,
44,繩子,
45,口塞,
46,灌腸+肛塞,
47,拘束衣穿著,
48,踐踏,
49,肛門電極,
;,,
;-------------------------------------------------,,
;50-59 特殊コマンド,,
;-------------------------------------------------,,
50,潤滑液,
51,媚藥,
52,利尿劑,
53,水晶球,
54,野外PLAY,
55,放置PLAY,
56,交談,
57,羞恥PLAY,
58,浴室PLAY,
59,新妻PLAY,
;,,
;-------------------------------------------------,,
;60-79 助手によるコマンド、及びレズプレイ,,
;-------------------------------------------------,,
60,助手接吻,
61,強制舔陰,
62,侵犯助手,
63,磨鏡,
64,３Ｐ,
65,逆侵犯助手,
66,雙槍口交,
68,雙人口交,
;69,六九式,;フェラ強制or強制舔陰→舔陰、フェラあるいはその逆で自動発動
;,,
;70,雙人股間性交,
71,雙人乳交,
72,刮陰毛,
73,撥弄髮型,
;,,
;-------------------------------------------------,,
;80-99 ハードな調教コマンド,,
;-------------------------------------------------,,
80,強制口交,
81,拳交,
82,肛門拳交,
83,兩穴拳交,
;84,刺激Ｇ點,
85,放尿,
;86,飲尿,
87,穿環,
89,獸姦PLAY,
90,乳房插入,
;,,
;-------------------------------------------------,,
;100-109 觸手系コマンド,,
;-------------------------------------------------,,
100,觸手生物,
101,觸手插入,
102,肛交觸手,
103,觸手凌辱陰蒂,
104,觸手凌辱乳頭,
105,觸手榨乳,
106,觸手緊縛,
107,觸手灌腸,
108,觸手口辱,
109,觸手凌辱陰莖,
;,,
;-------------------------------------------------,,
;110-111 著衣・脫衣関連コマンド,,
;-------------------------------------------------,,
110,穿脫衣服,
;111,撕破衣服,
;,,
;-------------------------------------------------,,
;120- 追加コマンド,,
;-------------------------------------------------,,
;120,插入Ｇ點蹂躪,
;121,插入子宮口蹂躪,
122,陰莖互捅,
;123,乳夾口交,
;124,深喉,
;125,口交時自慰,
;126,手搓口交,
;127,真空口交,
;128,正常位・接吻,
;129,正常位・胸愛撫,
;130,正常位ＳＰ,
;131,背後位・胸愛撫,
;132,背後位・打屁股,
;133,站立背後位,
;134,背後位ＳＰ,
135,自助舔舐,;無頭騎士専用
;,,
;精英パッチによる追加コマンド。主に體格差に関するもの,,
;136,妖精飛機杯,
;137,妖精肛門飛機杯,
;138,全身插入,
;139,肛門全身插入,
;140,舌插入,;追加派生コマンド
;141,肛門舌插入,:追加派生コマンド
;142,全身奉仕,;追加派生コマンド
;143,全身奉仕自慰,;追加派生コマンド
;144,全身奉仕口交,;追加派生コマンド
;フリーコマンド,,
150,自由區域性調教,
;死鬥場,,
200,死鬥場,
201,助手,
202,最下層居民,
203,黴菌狗,
204,獸人,
205,腐爛豬,
206,巨魔,
207,媚藥史萊姆,
;208,觸手,
